|TABLE_NAME                         |CONSTRAINT_NAME                       |CONSTRAINT_TYPE|STATUS  |VALIDATED    |COLUMN_NAME                           |POSITION|
|AQ$_QUEUES                         |AQ$_QUEUES_CHECK                      |U              |ENABLED |VALIDATED    |TABLE_OBJNO                           |2       |
|AQ$_QUEUE_TABLES                   |SYS_C002535                           |C              |ENABLED |VALIDATED    |SCHEMA                                |        |
|AQ$_QUEUE_TABLES                   |SYS_C002536                           |C              |ENABLED |VALIDATED    |NAME                                  |        |
|AQ$_QUEUE_TABLES                   |SYS_C002537                           |C              |ENABLED |VALIDATED    |UDATA_TYPE                            |        |
|AQ$_QUEUE_TABLES                   |SYS_C002538                           |C              |ENABLED |VALIDATED    |OBJNO                                 |        |
|AQ$_QUEUE_TABLES                   |SYS_C002539                           |C              |ENABLED |VALIDATED    |FLAGS                                 |        |
|AQ$_QUEUE_TABLES                   |SYS_C002540                           |C              |ENABLED |VALIDATED    |SORT_COLS                             |        |
|AQ$_QUEUE_TABLES                   |AQ$_QUEUE_TABLES_PRIMARY              |P              |ENABLED |VALIDATED    |OBJNO                                 |1       |
|AQ$_SCHEDULES                      |SYS_C002590                           |C              |ENABLED |VALIDATED    |DESTINATION                           |        |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |P              |ENABLED |VALIDATED    |OID                                   |1       |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_PRIMARY                 |P              |ENABLED |VALIDATED    |DESTINATION                           |2       |
|AQ$_SCHEDULES                      |AQ$_SCHEDULES_CHECK                   |U              |ENABLED |VALIDATED    |JOBNO                                 |1       |
|CATALOGO                           |SYS_C008318                           |C              |ENABLED |VALIDATED    |ID_CATALOGO                           |        |
|CATALOGO                           |SYS_C008319                           |C              |ENABLED |VALIDATED    |DESCRIPCION                           |        |
|CATALOGO                           |PK_CABECERA                           |P              |ENABLED |VALIDATED    |ID_CATALOGO                           |1       |
|CATALOGO                           |SYS_C008321                           |U              |ENABLED |VALIDATED    |DESCRIPCION                           |1       |
|CATALOGO_ITEM                      |SYS_C008322                           |C              |ENABLED |VALIDATED    |ID_CATALOGO_ITEM                      |        |
|CATALOGO_ITEM                      |SYS_C008323                           |C              |ENABLED |VALIDATED    |ID_CATALOGO                           |        |
|CATALOGO_ITEM                      |PK_DETALLE                            |P              |ENABLED |VALIDATED    |ID_CATALOGO_ITEM                      |1       |
|CATALOGO_ITEM                      |FK_DETALLE_CABECERA                   |R              |ENABLED |VALIDATED    |ID_CATALOGO                           |1       |
|DEPARTAMENTO                       |SYS_C008326                           |C              |ENABLED |VALIDATED    |ID_DEPARTAMENTO                       |        |
|DEPARTAMENTO                       |SYS_C008327                           |C              |ENABLED |VALIDATED    |CODIGO_DEPARTAMENTO_INEI              |        |
|DEPARTAMENTO                       |SYS_C008328                           |C              |ENABLED |VALIDATED    |DESCRIPCION                           |        |
