|OBJECT_NAME                        |OBJECT_TYPE|STATUS|CREATED                |LAST_DDL_TIME          |
|MVIEW$_ADV_PARAMETERS              |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_PLAN                    |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_PRETTY                  |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_ROLLUP                  |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_SQLDEPEND               |TABLE      |VALID |2021-09-28 04:37:34.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_TEMP                    |TABLE      |VALID |2021-09-28 04:37:35.000|2021-09-28 04:37:35.000|
|MVIEW$_ADV_WORKLOAD                |TABLE      |VALID |2021-09-28 04:37:34.000|2021-09-28 04:37:34.000|
|OL$                                |TABLE      |VALID |2021-09-28 04:39:47.000|2021-09-28 04:39:47.000|
|OL$HINTS                           |TABLE      |VALID |2021-09-28 04:39:47.000|2021-09-28 04:39:47.000|
|OL$NODES                           |TABLE      |VALID |2021-09-28 04:39:47.000|2021-09-28 04:39:47.000|
|PLAZO_ATENCION_DOCUMENTO           |TABLE      |VALID |2026-05-18 14:35:52.000|2026-05-18 14:35:52.000|
|PROVINCIA                          |TABLE      |VALID |2026-04-16 09:23:58.000|2026-04-16 09:23:58.000|
|REDO_DB                            |TABLE      |VALID |2021-09-28 04:32:52.000|2021-09-28 04:32:52.000|
|REDO_LOG                           |TABLE      |VALID |2021-09-28 04:32:52.000|2021-09-28 04:32:52.000|
|REPL_SUPPORT_MATRIX                |TABLE      |VALID |2021-09-28 04:46:56.000|2021-09-28 04:46:56.000|
|REPL_VALID_COMPAT                  |TABLE      |VALID |2021-09-28 04:46:56.000|2021-09-28 04:46:56.000|
|ROLLING$CONNECTIONS                |TABLE      |VALID |2021-09-28 04:32:52.000|2021-09-28 04:32:52.000|
|ROLLING$DATABASES                  |TABLE      |VALID |2021-09-28 04:32:52.000|2021-09-28 04:32:52.000|
|ROLLING$DIRECTIVES                 |TABLE      |VALID |2021-09-28 04:32:52.000|2021-09-28 04:32:52.000|
|ROLLING$EVENTS                     |TABLE      |VALID |2021-09-28 04:32:53.000|2021-09-28 04:32:53.000|
|ROLLING$PARAMETERS                 |TABLE      |VALID |2021-09-28 04:32:53.000|2021-09-28 04:32:53.000|
|ROLLING$PLAN                       |TABLE      |VALID |2021-09-28 04:32:53.000|2021-09-28 04:32:53.000|
|ROLLING$STATISTICS                 |TABLE      |VALID |2021-09-28 04:32:53.000|2021-09-28 04:32:53.000|
|ROLLING$STATUS                     |TABLE      |VALID |2021-09-28 04:32:53.000|2021-09-28 04:32:53.000|
|SCHEDULER_JOB_ARGS_TBL             |TABLE      |VALID |2021-09-28 04:43:37.000|2021-09-28 04:43:37.000|
|SCHEDULER_PROGRAM_ARGS_TBL         |TABLE      |VALID |2021-09-28 04:43:36.000|2021-09-28 04:43:36.000|
|SQLPLUS_PRODUCT_PROFILE            |TABLE      |VALID |2021-09-28 06:40:09.000|2021-09-28 06:40:09.000|
|TECNICO                            |TABLE      |VALID |2026-04-16 09:33:07.000|2026-05-02 07:11:25.000|
|USERS                              |TABLE      |VALID |2026-04-16 09:00:19.000|2026-05-02 03:32:08.000|
|MVIEW_EVALUATIONS                  |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|MVIEW_EXCEPTIONS                   |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|MVIEW_FILTER                       |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|MVIEW_FILTERINSTANCE               |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|MVIEW_LOG                          |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|MVIEW_RECOMMENDATIONS              |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|MVIEW_WORKLOAD                     |VIEW       |VALID |2021-09-28 04:37:36.000|2021-09-28 04:37:36.000|
|PRODUCT_PRIVS                      |VIEW       |VALID |2021-09-28 06:40:09.000|2021-09-28 06:40:09.000|
|SCHEDULER_JOB_ARGS                 |VIEW       |VALID |2021-09-28 04:43:36.000|2021-09-28 04:43:36.000|
|SCHEDULER_PROGRAM_ARGS             |VIEW       |VALID |2021-09-28 04:43:36.000|2021-09-28 04:43:36.000|
