|TABLE_NAME                         |CONSTRAINT_NAME                  |SEARCH_CONDITION                                        |STATUS |
|LOGMNR_LOB$                        |SYS_C003416                      |"\"CHUNK\" IS NOT NULL"                                 |ENABLED|
|LOGMNR_LOBFRAG$                    |SYS_C003465                      |"\"FRAG#\" IS NOT NULL"                                 |ENABLED|
|LOGMNR_LOGMNR_BUILDLOG             |SYS_C003491                      |"\"INITIAL_XID\" IS NOT NULL"                           |ENABLED|
|LOGMNR_NTAB$                       |SYS_C003495                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_OBJ$                        |SYS_C003200                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_OPQTYPE$                    |SYS_C003497                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNR_OPQTYPE$                    |SYS_C003498                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_PARAMETER$                  |SYS_C001763                      |"\"SESSION#\" IS NOT NULL"                              |ENABLED|
|LOGMNR_PARAMETER$                  |SYS_C001764                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_PARTOBJ$                    |SYS_C003563                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNRP_CTAS_PART_MAP              |SYS_C003575                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNRP_CTAS_PART_MAP              |SYS_C003576                      |"\"BASEOBJ#\" IS NOT NULL"                              |ENABLED|
|LOGMNRP_CTAS_PART_MAP              |SYS_C003577                      |"\"BASEOBJV#\" IS NOT NULL"                             |ENABLED|
|LOGMNRP_CTAS_PART_MAP              |SYS_C003578                      |"\"KEYOBJ#\" IS NOT NULL"                               |ENABLED|
|LOGMNRP_CTAS_PART_MAP              |SYS_C003579                      |"\"PART#\" IS NOT NULL"                                 |ENABLED|
|LOGMNR_PDB_INFO$                   |SYS_C001723                      |"\"LOGMNR_DID\" IS NOT NULL"                            |ENABLED|
|LOGMNR_PDB_INFO$                   |SYS_C001724                      |"\"LOGMNR_MDH\" IS NOT NULL"                            |ENABLED|
|LOGMNR_PDB_INFO$                   |SYS_C001725                      |"\"PLUGIN_SCN\" IS NOT NULL"                            |ENABLED|
|LOGMNR_PROPS$                      |SYS_C003507                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_REFCON$                     |SYS_C003529                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_SEED$                       |SYS_C003185                      |"\"NULL$\" IS NOT NULL"                                 |ENABLED|
|LOGMNR_SESSION$                    |SYS_C001765                      |"\"SESSION_NAME\" IS NOT NULL"                          |ENABLED|
|LOGMNR_SESSION_ACTIONS$            |SYS_C001758                      |"\"ACTIONNAME\" IS NOT NULL"                            |ENABLED|
|LOGMNR_SESSION_ACTIONS$            |SYS_C001759                      |"\"LOGMNRSESSION#\" IS NOT NULL"                        |ENABLED|
|LOGMNR_SESSION_ACTIONS$            |SYS_C001760                      |"\"PROCESSROLE#\" IS NOT NULL"                          |ENABLED|
|LOGMNR_SESSION_ACTIONS$            |SYS_C001761                      |"\"ACTIONTYPE#\" IS NOT NULL"                           |ENABLED|
|LOGMNR_SHARD_TS                    |SYS_C003584                      |"\"LOGMNR_UID\" IS NOT NULL"                            |ENABLED|
|LOGMNR_SHARD_TS                    |SYS_C003585                      |"\"TABLESPACE_NAME\" IS NOT NULL"                       |ENABLED|
|LOGMNR_SHARD_TS                    |SYS_C003586                      |"\"CHUNK_NUMBER\" IS NOT NULL"                          |ENABLED|
|LOGMNR_SUBCOLTYPE$                 |SYS_C003500                      |"\"INTCOL#\" IS NOT NULL"                               |ENABLED|
|LOGMNR_SUBCOLTYPE$                 |SYS_C003501                      |"\"TOID\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_SUBCOLTYPE$                 |SYS_C003502                      |"\"VERSION#\" IS NOT NULL"                              |ENABLED|
|LOGMNR_SUBCOLTYPE$                 |SYS_C003503                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_TAB$                        |SYS_C003209                      |"\"OBJ#\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_TABCOMPART$                 |SYS_C003351                      |"\"PART#\" IS NOT NULL"                                 |ENABLED|
|LOGMNR_TABPART$                    |SYS_C003313                      |"\"BO#\" IS NOT NULL"                                   |ENABLED|
|LOGMNR_TABSUBPART$                 |SYS_C003327                      |"\"TS#\" IS NOT NULL"                                   |ENABLED|
|LOGMNRT_MDDL$                      |SYS_C001821                      |"\"DEST_ROWID\" IS NOT NULL"                            |ENABLED|
|LOGMNR_TS$                         |SYS_C003256                      |"\"BLOCKSIZE\" IS NOT NULL"                             |ENABLED|
|LOGMNR_TYPE$                       |SYS_C003374                      |"\"TOID\" IS NOT NULL"                                  |ENABLED|
|LOGMNR_USER$                       |SYS_C003282                      |"\"NAME\" IS NOT NULL"                                  |ENABLED|
|LOGSTDBY$APPLY_MILESTONE           |SYS_C005838                      |"\"SESSION_ID\" IS NOT NULL"                            |ENABLED|
|LOGSTDBY$APPLY_MILESTONE           |SYS_C005839                      |"\"COMMIT_SCN\" IS NOT NULL"                            |ENABLED|
|LOGSTDBY$APPLY_MILESTONE           |SYS_C005840                      |"\"SYNCH_SCN\" IS NOT NULL"                             |ENABLED|
|LOGSTDBY$APPLY_MILESTONE           |SYS_C005841                      |"\"EPOCH\" IS NOT NULL"                                 |ENABLED|
